Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords
211507,COULOMMIERS,COULOMMIERS,PAULINE KERGOMARD             ,0770222Y,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8133875, 3.0885206)"
211510,COULOMMIERS,COULOMMIERS,LOUIS ROBERT                  ,0770229F,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8138775, 3.0878837)"
211511,COULOMMIERS,COULOMMIERS,CHARLES DE GAULLE             ,0771628B,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8066495, 3.0786973)"
211508,COULOMMIERS,COULOMMIERS,VAUX VILLAGE                  ,0772304L,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8047939, 3.0768549)"
211509,COULOMMIERS,COULOMMIERS,JEAN DE LA FONTAINE           ,0772653R,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8202863, 3.0933787)"
211512,COULOMMIERS,COULOMMIERS,JEHAN DE BRIE                 ,0772654S,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,4,0,4,1,"(48.8121301, 3.0843818)"
19527,COULOMMIERS,COULOMMIERS,COULOMMIERS                   ,0771131L,TS - Titulaire de secteur,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.8121301, 3.0843818)"
145340,PEI,COULOMMIERS,ETAB                          ,0772467N,UEE - Unité d'enseignement élémentaire,G0176 - Ulis ue troubles fonctions cognitives,0,0,0,1,1,0,"(48.8121301, 3.0843818)"
20378,PEI,COULOMMIERS,MADAME DE LA FAYETTE          ,0771760V,ULCG - Ulis collège,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,0,"(48.8121301, 3.0843818)"
20232,COULOMMIERS,COULOMMIERS,CHARLES DE GAULLE             ,0771628B,ULEC - Ulis école,G0177 - Ulis ue troubles fonctions motrices et maladies invalidantes,0,0,1,0,1,0,"(48.8066495, 3.0786973)"
186294,COULOMMIERS,COULOMMIERS,JEHAN DE BRIE                 ,0772654S,ULEC - Ulis école,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,1,"(48.8121301, 3.0843818)"
18590,VAL D'EUROPE,COUPVRAY,FRANCIS ET ODETTE TEISSEYRE   ,0770427W,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.8975671, 2.7892787)"
20893,VAL D'EUROPE,COUPVRAY,FRANCIS ET ODETTE TEISSEYRE   ,0772156A,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.8975671, 2.7892787)"
21646,VAL D'EUROPE,COUPVRAY,JEAN-LOUIS ETIENNE            ,0772897F,DE - Directeur d'école,D0000 - Direction,11,0,0,1,1,0,"(48.8918983, 2.7948137)"
18591,VAL D'EUROPE,COUPVRAY,FRANCIS ET ODETTE TEISSEYRE   ,0770427W,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,5,1,6,0,"(48.8975671, 2.7892787)"
21647,VAL D'EUROPE,COUPVRAY,JEAN-LOUIS ETIENNE            ,0772897F,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,6,0,6,3,"(48.8918983, 2.7948137)"
20894,VAL D'EUROPE,COUPVRAY,FRANCIS ET ODETTE TEISSEYRE   ,0772156A,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8975671, 2.7892787)"
166295,VAL D'EUROPE,COUPVRAY,JEAN-LOUIS ETIENNE            ,0772897F,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,4,0,4,2,"(48.8918983, 2.7948137)"
211515,VAL D'EUROPE,COUPVRAY,FRANCIS ET ODETTE TEISSEYRE   ,0770427W,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8975671, 2.7892787)"
211514,VAL D'EUROPE,COUPVRAY,FRANCIS ET ODETTE TEISSEYRE   ,0772156A,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8975671, 2.7892787)"
211516,VAL D'EUROPE,COUPVRAY,JEAN-LOUIS ETIENNE            ,0772897F,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8918983, 2.7948137)"
19243,CHAUMES EN BRIE,COURPALAY,LA FAYETTE                    ,0770831K,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.647908, 2.960979)"
21122,CHAUMES EN BRIE,COURPALAY,PETIT PRINCE                  ,0772305M,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.6477081, 2.962956)"
19244,CHAUMES EN BRIE,COURPALAY,LA FAYETTE                    ,0770831K,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.647908, 2.960979)"
21123,CHAUMES EN BRIE,COURPALAY,PETIT PRINCE                  ,0772305M,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,1,3,0,"(48.6477081, 2.962956)"
211517,CHAUMES EN BRIE,COURPALAY,PETIT PRINCE                  ,0772305M,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.6477081, 2.962956)"
20095,CHAUMES EN BRIE,COURQUETAINE,,0771555X,DE - Directeur d'école,D0000 - Direction,1,0,1,0,1,0,"(48.6774443, 2.7468822)"
211518,CHAUMES EN BRIE,COURQUETAINE,,0771555X,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.6774443, 2.7468822)"
19065,DAMMARIE-LES-LYS,COURTOMER,LA PIERRE COUVEE              ,0770713G,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(48.651828, 2.902252)"
19066,DAMMARIE-LES-LYS,COURTOMER,LA PIERRE COUVEE              ,0770713G,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,0,"(48.651828, 2.902252)"
215942,CLAYE SOUILLY,COURTRY,MICHEL LEFEVRE                ,0770181D,DCOM - Compensation décharge de directeur,G0000 - Sans spécialité,0,0,1,0,1,1,"(48.9102995, 2.5941297)"
18123,CLAYE SOUILLY,COURTRY,MICHEL LEFEVRE                ,0770181D,DE - Directeur d'école,D0000 - Direction,12,1,0,1,1,0,"(48.9102995, 2.5941297)"
20136,CLAYE SOUILLY,COURTRY,MICHEL LEFEVRE                ,0771576V,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.9102995, 2.5941297)"
20515,CLAYE SOUILLY,COURTRY,GEORGES BRASSENS              ,0771858B,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.91331, 2.5977087)"
20721,CLAYE SOUILLY,COURTRY,GEORGES BRASSENS              ,0772013V,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.91331, 2.5977087)"
21006,CLAYE SOUILLY,COURTRY,JACQUES BREL                  ,0772236M,DE - Directeur d'école,D0000 - Direction,8,0,1,0,1,0,"(48.9135515, 2.5966264)"
18124,CLAYE SOUILLY,COURTRY,MICHEL LEFEVRE                ,0770181D,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,10,0,10,1,"(48.9102995, 2.5941297)"
20722,CLAYE SOUILLY,COURTRY,GEORGES BRASSENS              ,0772013V,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,5,0,5,0,"(48.91331, 2.5977087)"
21007,CLAYE SOUILLY,COURTRY,JACQUES BREL                  ,0772236M,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,7,0,7,1,"(48.9135515, 2.5966264)"
20137,CLAYE SOUILLY,COURTRY,MICHEL LEFEVRE                ,0771576V,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,5,0,5,1,"(48.9102995, 2.5941297)"
20516,CLAYE SOUILLY,COURTRY,GEORGES BRASSENS              ,0771858B,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,6,0,6,0,"(48.91331, 2.5977087)"
21150,PEI,COURTRY,MARIA CALLAS                  ,0772396L,REF - Enseignant 1e degré référent,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.9110243, 2.6025053)"
211520,CLAYE SOUILLY,COURTRY,JACQUES BREL                  ,0772236M,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.9135515, 2.5966264)"
189000,PEI,COURTRY,MARIA CALLAS                  ,0772396L,ULCG - Ulis collège,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,0,"(48.9110243, 2.6025053)"
211519,CLAYE SOUILLY,COURTRY,MICHEL LEFEVRE                ,0770181D,ULEC - Ulis école,G0174 - Ulis ue troubles fonctions auditives,0,0,0,1,1,0,"(48.9102995, 2.5941297)"
18351,MONTEREAU,COUTENCON,,0770301J,DE - Directeur d'école,D0000 - Direction,1,0,1,0,1,0,"(48.4714802, 2.9957907)"
18247,VAL D'EUROPE,COUTEVROULT,PIERRE FALKE                  ,0770252F,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.8628337, 2.8534809)"
18248,VAL D'EUROPE,COUTEVROULT,PIERRE FALKE                  ,0770252F,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.8628337, 2.8534809)"
18249,VAL D'EUROPE,COUTEVROULT,PIERRE FALKE                  ,0770252F,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.8628337, 2.8534809)"
211521,VAL D'EUROPE,COUTEVROULT,PIERRE FALKE                  ,0770252F,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8628337, 2.8534809)"
141790,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,L'EAU VIVE                    ,0772635W,DCOM - Compensation décharge de directeur,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8593115, 2.9119113)"
18251,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,LES PROMENADES                ,0770254H,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.8591413, 2.9139466)"
21320,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,L'EAU VIVE                    ,0772635W,DE - Directeur d'école,D0000 - Direction,12,0,0,1,1,0,"(48.8593115, 2.9119113)"
21321,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,L'EAU VIVE                    ,0772635W,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,11,0,11,0,"(48.8593115, 2.9119113)"
18252,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,LES PROMENADES                ,0770254H,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,5,0,5,0,"(48.8591413, 2.9139466)"
21322,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,L'EAU VIVE                    ,0772635W,RASE - Réseau d'aide à dominante,G0173 - Rased aide à dominante pédagogique,0,0,1,0,1,0,"(48.8593115, 2.9119113)"
186295,PEI,CRECY LA CHAPELLE,MON PLAISIR                   ,0771667U,REF - Enseignant 1e degré référent,G0000 - Sans spécialité,0,0,1,0,1,1,"(48.8582176, 2.9152109)"
211522,LA FERTE SOUS JOUARRE,CRECY LA CHAPELLE,LES PROMENADES                ,0770254H,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.8591413, 2.9139466)"
141801,MEAUX NORD,CREGY LES MEAUX,JEAN ROSTAND                  ,0772802C,DCOM - Compensation décharge de directeur,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.9761329, 2.8706863)"
20896,MEAUX NORD,CREGY LES MEAUX,JACQUES TATI                  ,0772157B,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.976565, 2.8730875)"
21513,MEAUX NORD,CREGY LES MEAUX,LE BLAMONT                    ,0772801B,DE - Directeur d'école,D0000 - Direction,8,0,1,0,1,0,"(48.9779, 2.87437)"
21517,MEAUX NORD,CREGY LES MEAUX,JEAN ROSTAND                  ,0772802C,DE - Directeur d'école,D0000 - Direction,11,0,0,1,1,0,"(48.9761329, 2.8706863)"
21514,MEAUX NORD,CREGY LES MEAUX,LE BLAMONT                    ,0772801B,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,1,"(48.9779, 2.87437)"
21518,MEAUX NORD,CREGY LES MEAUX,JEAN ROSTAND                  ,0772802C,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,10,0,10,0,"(48.9761329, 2.8706863)"
20897,MEAUX NORD,CREGY LES MEAUX,JACQUES TATI                  ,0772157B,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,5,0,5,0,"(48.976565, 2.8730875)"
21515,MEAUX NORD,CREGY LES MEAUX,LE BLAMONT                    ,0772801B,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,1,3,0,"(48.9779, 2.87437)"
21519,MEAUX NORD,CREGY LES MEAUX,JEAN ROSTAND                  ,0772802C,RASE - Réseau d'aide à dominante,G0173 - Rased aide à dominante pédagogique,0,0,1,0,1,0,"(48.9761329, 2.8706863)"
211523,MEAUX NORD,CREGY LES MEAUX,JACQUES TATI                  ,0772157B,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.976565, 2.8730875)"
19245,CHAUMES EN BRIE,CREVECOEUR EN BRIE,,0770832L,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.7548367, 2.9075377)"
19246,CHAUMES EN BRIE,CREVECOEUR EN BRIE,,0770832L,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7548367, 2.9075377)"
211524,CHAUMES EN BRIE,CREVECOEUR EN BRIE,,0770832L,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7548367, 2.9075377)"
19067,MELUN,CRISENOY,,0770714H,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(48.5953759, 2.7408641)"
19068,MELUN,CRISENOY,,0770714H,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5953759, 2.7408641)"
19069,MELUN,CRISENOY,,0770714H,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5953759, 2.7408641)"
20028,LOGNES,CROISSY BEAUBOURG,LES LIONS DE BEAUBOURG        ,0771529U,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.8261674, 2.6490268)"
20103,LOGNES,CROISSY BEAUBOURG,ALFRED CHARTIER               ,0771559B,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(48.8246232, 2.6492735)"
20029,LOGNES,CROISSY BEAUBOURG,LES LIONS DE BEAUBOURG        ,0771529U,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,1,5,0,"(48.8261674, 2.6490268)"
20104,LOGNES,CROISSY BEAUBOURG,ALFRED CHARTIER               ,0771559B,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.8246232, 2.6492735)"
211526,LOGNES,CROISSY BEAUBOURG,LES LIONS DE BEAUBOURG        ,0771529U,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8261674, 2.6490268)"
211525,LOGNES,CROISSY BEAUBOURG,ALFRED CHARTIER               ,0771559B,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8246232, 2.6492735)"
18670,MEAUX NORD,CROUY SUR OURCQ,,0770475Y,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(49.091413, 3.0767248)"
21023,MEAUX NORD,CROUY SUR OURCQ,,0772251D,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(49.091413, 3.0767248)"
18671,MEAUX NORD,CROUY SUR OURCQ,,0770475Y,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,0,"(49.091413, 3.0767248)"
21024,MEAUX NORD,CROUY SUR OURCQ,,0772251D,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(49.091413, 3.0767248)"
21018,PEI,CROUY SUR OURCQ,LE CHAMPIVERT                 ,0772246Y,ISES - Enseignant 1er degré de segpa,G0170 - Enseigner en segpa ou en erea ,0,0,3,0,3,0,"(49.0914736, 3.0700152)"
211528,MEAUX NORD,CROUY SUR OURCQ,,0770475Y,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,2,0,2,0,"(49.091413, 3.0767248)"
21019,PEI,CROUY SUR OURCQ,LE CHAMPIVERT                 ,0772246Y,ULCG - Ulis collège,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,1,"(49.0914736, 3.0700152)"
18345,DAMMARTIN EN GOELE,CUISY,,0770297E,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(49.0205506, 2.7733547)"
18346,DAMMARTIN EN GOELE,CUISY,,0770297E,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,2,0,2,1,"(49.0205506, 2.7733547)"
211530,DAMMARTIN EN GOELE,CUISY,,0770297E,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(49.0205506, 2.7733547)"
18444,COULOMMIERS,DAGNY,,0770352P,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.7175637, 3.1703363)"
174744,COULOMMIERS,DAGNY,,0770352P,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7175637, 3.1703363)"
145330,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,ASOU - Animation soutien,G0201 - Coordination zep,0,0,0,1,1,0,"(48.5085344, 2.6159973)"
17932,PEI,DAMMARIE LES LYS,ROBERT DOISNEAU               ,0770019C,CLR - Classe relais,G0173 - Rased aide à dominante pédagogique,0,0,1,0,1,0,"(48.5185778, 2.6457971)"
149137,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,CPC - Conseiller pédagogique ien (1d),G0000 - Sans spécialité,0,0,0,1,1,0,"(48.5085344, 2.6159973)"
166299,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,CPC - Conseiller pédagogique ien (1d),G0164 - Technologies et ressources éducatives,0,0,0,1,1,0,"(48.5085344, 2.6159973)"
149138,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,CPEP - Conseiller pédagogique pour l'eps,G0000 - Sans spécialité,0,0,0,1,1,0,"(48.5085344, 2.6159973)"
19566,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,CPLV - Conseiller pédagogique langues vivantes étrangères,G0000 - Sans spécialité,0,0,0,1,1,0,"(48.5085344, 2.6159973)"
18905,DAMMARIE-LES-LYS,DAMMARIE LES LYS,PAUL DOUMER                   ,0770618D,DCOM - Compensation décharge de directeur,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5171251, 2.635537)"
19741,DAMMARIE-LES-LYS,DAMMARIE LES LYS,HENRI WALLON                  ,0771371X,DCOM - Compensation décharge de directeur,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5240686, 2.6424976)"
21349,DAMMARIE-LES-LYS,DAMMARIE LES LYS,MAURICE DE SEYNES             ,0772655T,DCOM - Compensation décharge de directeur,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5183833, 2.6377993)"
18900,DAMMARIE-LES-LYS,DAMMARIE LES LYS,RENE COTY                     ,0770613Y,DE - Directeur d'école,D0000 - Direction,10,0,1,0,1,0,"(48.5224425, 2.6447984)"
18903,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JULES VERNE                   ,0770615A,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.5221964, 2.6455677)"
18906,DAMMARIE-LES-LYS,DAMMARIE LES LYS,PAUL DOUMER                   ,0770618D,DE - Directeur d'école,D0000 - Direction,24,2,0,1,1,0,"(48.5171251, 2.635537)"
18912,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ANTOINE DE SAINT-EXUPERY      ,0770619E,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.5170362, 2.6350703)"
18915,DAMMARIE-LES-LYS,DAMMARIE LES LYS,,0770622H,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,1,"(48.5162692, 2.6356684)"
19607,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JULIETTE GEORGE               ,0771143Z,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.5093238, 2.6154679)"
19648,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JACQUES GONDOUIN              ,0771309E,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(48.5241664, 2.6419505)"
19690,DAMMARIE-LES-LYS,DAMMARIE LES LYS,FRANCOIS DE TESSAN            ,0771330C,DE - Directeur d'école,D0000 - Direction,10,1,1,0,1,0,"(48.5085344, 2.6159973)"
19742,DAMMARIE-LES-LYS,DAMMARIE LES LYS,HENRI WALLON                  ,0771371X,DE - Directeur d'école,D0000 - Direction,21,1,0,1,1,0,"(48.5240686, 2.6424976)"
19777,DAMMARIE-LES-LYS,DAMMARIE LES LYS,CHARLES PERRAULT              ,0771392V,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,1,"(48.5236725, 2.6421731)"
19944,DAMMARIE-LES-LYS,DAMMARIE LES LYS,SIDONIE COLETTE               ,0771479P,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.5181161, 2.6369105)"
20059,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ALPHONSE DAUDET               ,0771539E,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(48.5182242, 2.6362697)"
20233,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JACQUES MONOD                 ,0771629C,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.5162692, 2.6356684)"
21350,DAMMARIE-LES-LYS,DAMMARIE LES LYS,MAURICE DE SEYNES             ,0772655T,DE - Directeur d'école,D0000 - Direction,19,0,0,1,1,0,"(48.5183833, 2.6377993)"
21654,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ECOLE DU BOIS DU LYS          ,0772929R,DE - Directeur d'école,D0000 - Direction,8,0,1,0,1,0,"(48.5069719, 2.636897)"
18901,DAMMARIE-LES-LYS,DAMMARIE LES LYS,RENE COTY                     ,0770613Y,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,8,1,9,1,"(48.5224425, 2.6447984)"
18907,DAMMARIE-LES-LYS,DAMMARIE LES LYS,PAUL DOUMER                   ,0770618D,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,21,0,21,1,"(48.5171251, 2.635537)"
18916,DAMMARIE-LES-LYS,DAMMARIE LES LYS,,0770622H,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.5162692, 2.6356684)"
19691,DAMMARIE-LES-LYS,DAMMARIE LES LYS,FRANCOIS DE TESSAN            ,0771330C,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,8,0,8,0,"(48.5085344, 2.6159973)"
19743,DAMMARIE-LES-LYS,DAMMARIE LES LYS,HENRI WALLON                  ,0771371X,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,19,0,19,2,"(48.5240686, 2.6424976)"
21351,DAMMARIE-LES-LYS,DAMMARIE LES LYS,MAURICE DE SEYNES             ,0772655T,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,18,0,18,0,"(48.5183833, 2.6377993)"
21655,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ECOLE DU BOIS DU LYS          ,0772929R,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,3,0,3,0,"(48.5069719, 2.636897)"
18904,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JULES VERNE                   ,0770615A,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,5,0,5,0,"(48.5221964, 2.6455677)"
18913,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ANTOINE DE SAINT-EXUPERY      ,0770619E,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,6,0,6,2,"(48.5170362, 2.6350703)"
19608,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JULIETTE GEORGE               ,0771143Z,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,6,0,6,1,"(48.5093238, 2.6154679)"
19649,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JACQUES GONDOUIN              ,0771309E,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,4,0,4,1,"(48.5241664, 2.6419505)"
19778,DAMMARIE-LES-LYS,DAMMARIE LES LYS,CHARLES PERRAULT              ,0771392V,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,5,0,5,1,"(48.5236725, 2.6421731)"
19945,DAMMARIE-LES-LYS,DAMMARIE LES LYS,SIDONIE COLETTE               ,0771479P,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,6,0,6,1,"(48.5181161, 2.6369105)"
20060,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ALPHONSE DAUDET               ,0771539E,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,4,0,4,1,"(48.5182242, 2.6362697)"
20234,DAMMARIE-LES-LYS,DAMMARIE LES LYS,JACQUES MONOD                 ,0771629C,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,5,0,5,1,"(48.5162692, 2.6356684)"
21656,DAMMARIE-LES-LYS,DAMMARIE LES LYS,ECOLE DU BOIS DU LYS          ,0772929R,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,1,4,0,"(48.5069719, 2.636897)"
21254,PEI,DAMMARIE LES LYS,SAAAIS APEDV SOINS DOMICILE   ,0772562S,ECSP - Enseignant classe spécialisée,G0141 - Option b,0,0,0,2,2,0,"(48.5150876, 2.6347018)"
17933,PEI,DAMMARIE LES LYS,ROBERT DOISNEAU               ,0770019C,ISES - Enseignant 1er degré de segpa,G0170 - Enseigner en segpa ou en erea ,0,0,5,0,5,1,"(48.5185778, 2.6457971)"
19568,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,ITIN - (enseignant) 1e degré itinérant spécialisé,G0163 - Accueil primo arrivants,0,0,3,0,3,1,"(48.5085344, 2.6159973)"
19569,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,ITSP - Enseignant 1er degré itinérant spécialisé,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.5085344, 2.6159973)"
18908,DAMMARIE-LES-LYS,DAMMARIE LES LYS,PAUL DOUMER                   ,0770618D,RASE - Réseau d'aide à dominante,G0173 - Rased aide à dominante pédagogique,0,0,1,0,1,0,"(48.5171251, 2.635537)"
19570,DAMMARIE-LES-LYS,DAMMARIE LES LYS,DAMMARIE-LES-LYS              ,0771136S,RASE - Réseau d'aide à dominante,G0172 - Rased aide à dominante relationnelle ,0,0,1,0,1,1,"(48.5085344, 2.6159973)"
