Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords
174720,PEI,AULNOY,CTRE MEDICO EDUCATIF DE VILLIE,0771405J,UEE - Unité d'enseignement élémentaire,G0176 - Ulis ue troubles fonctions cognitives,0,0,3,0,3,0,"(48.8411862, 3.0956698)"
18478,FONTAINEBLEAU,AVON,HAUT CHANGIS                  ,0770373M,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,1,"(48.4167857, 2.7305271)"
18482,FONTAINEBLEAU,AVON,LES TERRASSES                 ,0770376R,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.4199859, 2.7336366)"
19431,FONTAINEBLEAU,AVON,LA BUTTE MONTCEAU             ,0771050Y,DE - Directeur d'école,D0000 - Direction,10,1,1,0,1,0,"(48.4122001, 2.7385723)"
19460,FONTAINEBLEAU,AVON,LA BUTTE MONTCEAU             ,0771078D,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,0,"(48.4122001, 2.7385723)"
19643,FONTAINEBLEAU,AVON,PAUL MATHERY                  ,0771306B,DE - Directeur d'école,D0000 - Direction,6,0,1,0,1,0,"(48.406608, 2.7230098)"
19846,FONTAINEBLEAU,AVON,PAUL MATHERY                  ,0771437U,DE - Directeur d'école,D0000 - Direction,8,0,1,0,1,1,"(48.406608, 2.7230098)"
20115,FONTAINEBLEAU,AVON,LES TERRASSES                 ,0771569M,DE - Directeur d'école,D0000 - Direction,10,0,0,1,1,0,"(48.4199859, 2.7336366)"
20119,FONTAINEBLEAU,AVON,BELLEVUE                      ,0771570N,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.4176852, 2.7301924)"
18479,FONTAINEBLEAU,AVON,HAUT CHANGIS                  ,0770373M,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,0,"(48.4167857, 2.7305271)"
19432,FONTAINEBLEAU,AVON,LA BUTTE MONTCEAU             ,0771050Y,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,8,0,8,2,"(48.4122001, 2.7385723)"
19847,FONTAINEBLEAU,AVON,PAUL MATHERY                  ,0771437U,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,7,0,7,0,"(48.406608, 2.7230098)"
20116,FONTAINEBLEAU,AVON,LES TERRASSES                 ,0771569M,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,9,0,9,2,"(48.4199859, 2.7336366)"
18483,FONTAINEBLEAU,AVON,LES TERRASSES                 ,0770376R,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,6,0,6,1,"(48.4199859, 2.7336366)"
19461,FONTAINEBLEAU,AVON,LA BUTTE MONTCEAU             ,0771078D,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,1,4,0,"(48.4122001, 2.7385723)"
19644,FONTAINEBLEAU,AVON,PAUL MATHERY                  ,0771306B,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,4,1,5,0,"(48.406608, 2.7230098)"
20120,FONTAINEBLEAU,AVON,BELLEVUE                      ,0771570N,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,0,3,1,"(48.4176852, 2.7301924)"
19819,PEI,AVON,DE LA VALLEE                  ,0771422C,ISES - Enseignant 1er degré de segpa,G0170 - Enseigner en segpa ou en erea ,0,0,3,0,3,0,"(48.4136197, 2.7304103)"
19433,FONTAINEBLEAU,AVON,LA BUTTE MONTCEAU             ,0771050Y,RASE - Réseau d'aide à dominante,G0173 - Rased aide à dominante pédagogique,0,0,1,0,1,1,"(48.4122001, 2.7385723)"
175139,FONTAINEBLEAU,AVON,LES TERRASSES                 ,0771569M,RASE - Réseau d'aide à dominante,G0173 - Rased aide à dominante pédagogique,0,0,1,0,1,0,"(48.4199859, 2.7336366)"
19820,PEI,AVON,DE LA VALLEE                  ,0771422C,REF - Enseignant 1e degré référent,G0000 - Sans spécialité,0,0,1,1,2,1,"(48.4136197, 2.7304103)"
